Bundesland,Wissenschaftlicher Name,Gefährdung,NaturaDB
Baden-Württemberg,Aceras anthropophorum,2,not in naturadb
Baden-Württemberg,Adenostyles glabra,0,not in naturadb
Baden-Württemberg,Adonis flammea,1,not in naturadb
Baden-Württemberg,Aira caryophyllea,3,not in naturadb
Baden-Württemberg,Aira praecox,3,not in naturadb
Baden-Württemberg,Ajuga pyramidalis,R,not in naturadb
Baden-Württemberg,Alchemilla connivens,G,not in naturadb
Baden-Württemberg,Alchemilla coriacea,G,not in naturadb
Baden-Württemberg,Alchemilla crinita,R,not in naturadb
Baden-Württemberg,Alchemilla glaucescens,3,not in naturadb
Baden-Württemberg,Alchemilla reniformis,G,not in naturadb
Baden-Württemberg,Alchemilla strigosula,V,not in naturadb
Baden-Württemberg,Alisma gramineum,V,not in naturadb
Baden-Württemberg,Allium scorodoprasum,V,not in naturadb
Baden-Württemberg,Allium senescens ssp. montanum,3,not in naturadb
Baden-Württemberg,Allium victorialis,1,not in naturadb
Baden-Württemberg,Alopecurus rendlei,0,not in naturadb
Baden-Württemberg,Althaea hirsuta,2,not in naturadb
Baden-Württemberg,Amaranthus graecizans ssp. sylvestris,2,not in naturadb
Baden-Württemberg,Ambrosia trifida,2,not in naturadb
Baden-Württemberg,Anacamptis pyramidalis,3,not in naturadb
Baden-Württemberg,Anagallis foemina,3,not in naturadb
Baden-Württemberg,Anagallis minima,3,not in naturadb
Baden-Württemberg,Androsace lactea,1,not in naturadb
Baden-Württemberg,Androsace septentrionalis,0,not in naturadb
Baden-Württemberg,Anthemis cotula,G,not in naturadb
Baden-Württemberg,Anthoxanthum alpinum,V,not in naturadb
Baden-Württemberg,Anthoxanthum aristatum,2,not in naturadb
Baden-Württemberg,Aphanes inexspectata,V,not in naturadb
Baden-Württemberg,Apium repens,1,not in naturadb
Baden-Württemberg,Aposeris foetida,R,not in naturadb
Baden-Württemberg,Arabis auriculata,3,not in naturadb
Baden-Württemberg,Arabis ciliata,0,not in naturadb
Baden-Württemberg,Arabis nemorensis,2,not in naturadb
Baden-Württemberg,Arabis pauciflora,V,not in naturadb
Baden-Württemberg,Arabis turrita,V,not in naturadb
Baden-Württemberg,Aremonia agrimonoides,3,not in naturadb
Baden-Württemberg,Aristolochia clematitis,V,not in naturadb
Baden-Württemberg,Armeria purpurea,0,not in naturadb
Baden-Württemberg,Armeria vulgaris,1,not in naturadb
Baden-Württemberg,Arnoseris minima,1,not in naturadb
Baden-Württemberg,Asperugo procumbens,2,not in naturadb
Baden-Württemberg,Asperula arvensis,0,not in naturadb
Baden-Württemberg,Asplenium adiantum-nigrum,3,not in naturadb
Baden-Württemberg,Asplenium ceterach,2,not in naturadb
Baden-Württemberg,Asplenium fontanum,R,not in naturadb
Baden-Württemberg,Asplenium obovatum ssp. lanceolatum,R,not in naturadb
Baden-Württemberg,Asplenium septentrionale,V,not in naturadb
Baden-Württemberg,Astragalus danicus,0,not in naturadb
Baden-Württemberg,Bassia laniflora,1,not in naturadb
Baden-Württemberg,Bidens cernuus,3,not in naturadb
Baden-Württemberg,Bidens radiatus,3,not in naturadb
Baden-Württemberg,Bifora radians,2,not in naturadb
Baden-Württemberg,Blackstonia acuminata,2,not in naturadb
Baden-Württemberg,Blackstonia perfoliata,2,not in naturadb
Baden-Württemberg,Blysmus compressus,2,not in naturadb
Baden-Württemberg,Bothriochloa ischoemum,3,not in naturadb
Baden-Württemberg,Botrychium lunaria,2,not in naturadb
Baden-Württemberg,Botrychium matricariifolium,2,not in naturadb
Baden-Württemberg,Botrychium multifidum,0,not in naturadb
Baden-Württemberg,Botrychium simplex,0,not in naturadb
Baden-Württemberg,Bromus arvensis,3,not in naturadb
Baden-Württemberg,Bromus grossus,2,not in naturadb
Baden-Württemberg,Bromus racemosus,3,not in naturadb
Baden-Württemberg,Bromus secalinus,3,not in naturadb
Baden-Württemberg,Bromus squarrosus,R,not in naturadb
Baden-Württemberg,Bunium bulbocastanum,2,not in naturadb
Baden-Württemberg,Calamagrostis phragmitoides,R,not in naturadb
Baden-Württemberg,Calamagrostis stricta,2,not in naturadb
Baden-Württemberg,Calamintha menthifolia,V,not in naturadb
Baden-Württemberg,Calepina irregularis,0,not in naturadb
Baden-Württemberg,Camelina alyssum,0,not in naturadb
Baden-Württemberg,Camelina microcarpa,3,not in naturadb
Baden-Württemberg,Camelina sativa,G,not in naturadb
Baden-Württemberg,Campanula barbata,0,not in naturadb
Baden-Württemberg,Campanula baumgartenii,0,not in naturadb
Baden-Württemberg,Cardamine enneaphyllos,R,not in naturadb
Baden-Württemberg,Cardaminopsis halleri,R,not in naturadb
Baden-Württemberg,Carex appropinquata,3,not in naturadb
Baden-Württemberg,Carex bohemica,3,not in naturadb
Baden-Württemberg,Carex brachystachys,R,not in naturadb
Baden-Württemberg,Carex brunnescens,0,not in naturadb
Baden-Württemberg,Carex buxbaumii,2,not in naturadb
Baden-Württemberg,Carex canescens,V,not in naturadb
Baden-Württemberg,Carex capitata,0,not in naturadb
Baden-Württemberg,Carex cespitosa,3,not in naturadb
Baden-Württemberg,Carex chordorrhiza,2,not in naturadb
Baden-Württemberg,Carex dioica,2,not in naturadb
Baden-Württemberg,Carex distans,3,not in naturadb
Baden-Württemberg,Carex echinata,V,not in naturadb
Baden-Württemberg,Carex elongata,V,not in naturadb
Baden-Württemberg,Carex frigida,V,not in naturadb
Baden-Württemberg,Carex halleriana,R,not in naturadb
Baden-Württemberg,Carex hartmanii,2,not in naturadb
Baden-Württemberg,Carex heleonastes,0,not in naturadb
Baden-Württemberg,Carex hostiana,2,not in naturadb
Baden-Württemberg,Carex lasiocarpa,3,not in naturadb
Baden-Württemberg,Carex lepidocarpa,3,not in naturadb
Baden-Württemberg,Carex limosa,2,not in naturadb
Baden-Württemberg,Carex microglochin,0,not in naturadb
Baden-Württemberg,Carex pauciflora,2,not in naturadb
Baden-Württemberg,Carex praecox,3,not in naturadb
Baden-Württemberg,Carex pulicaris,2,not in naturadb
Baden-Württemberg,Carex supina,1,not in naturadb
Baden-Württemberg,Carex tomentosa,3,not in naturadb
Baden-Württemberg,Carex viridula,3,not in naturadb
Baden-Württemberg,Catabrosa aquatica,2,not in naturadb
Baden-Württemberg,Caucalis platycarpos,2,not in naturadb
Baden-Württemberg,Centaurea calcitrapa,0,not in naturadb
Baden-Württemberg,Centaurium pulchellum,3,not in naturadb
Baden-Württemberg,Cephalanthera longifolia,V,not in naturadb
Baden-Württemberg,Cephalanthera rubra,V,not in naturadb
Baden-Württemberg,Cerastium brachypetalum,V,not in naturadb
Baden-Württemberg,Cerastium dubium,0,not in naturadb
Baden-Württemberg,Ceratocephala falcata,0,not in naturadb
Baden-Württemberg,Cerinthe alpina,1,not in naturadb
Baden-Württemberg,Chenopodium glaucum,V,not in naturadb
Baden-Württemberg,Chenopodium murale,1,not in naturadb
Baden-Württemberg,Chenopodium opulifolium,G,not in naturadb
Baden-Württemberg,Chenopodium rubrum,3,not in naturadb
Baden-Württemberg,Chenopodium striatiforme,3,not in naturadb
Baden-Württemberg,Chenopodium urbicum,0,not in naturadb
Baden-Württemberg,Chenopodium vulvaria,1,not in naturadb
Baden-Württemberg,Chimaphila umbellata,0,not in naturadb
Baden-Württemberg,Chlorocrepis staticifolia,0,not in naturadb
Baden-Württemberg,Chondrilla chondrilloides,0,not in naturadb
Baden-Württemberg,Chrysanthemum segetum,0,not in naturadb
Baden-Württemberg,Cicendia filiformis,0,not in naturadb
Baden-Württemberg,Cochlearia pyrenaica,2,not in naturadb
Baden-Württemberg,Coeloglossum viride,2,not in naturadb
Baden-Württemberg,Conringia orientalis,1,not in naturadb
Baden-Württemberg,Corallorrhiza trifida,V,not in naturadb
Baden-Württemberg,Corispermum leptopterum,V,not in naturadb
Baden-Württemberg,Corispermum marschallii,1,not in naturadb
Baden-Württemberg,Coronopus squamatus,3,not in naturadb
Baden-Württemberg,Corrigiola litoralis,1,not in naturadb
Baden-Württemberg,Cotoneaster tomentosus,3,not in naturadb
Baden-Württemberg,Crepis alpestris,3,not in naturadb
Baden-Württemberg,Crepis foetida,3,not in naturadb
Baden-Württemberg,Crepis mollis,3,not in naturadb
Baden-Württemberg,Crepis praemorsa,2,not in naturadb
Baden-Württemberg,Crepis pulchra,V,not in naturadb
Baden-Württemberg,Crepis pyrenaica,R,not in naturadb
Baden-Württemberg,Crepis setosa,V,not in naturadb
Baden-Württemberg,Crocus albiflorus,1,not in naturadb
Baden-Württemberg,Cryptogramma crispa,2,not in naturadb
Baden-Württemberg,Cucubalus baccifer,R,not in naturadb
Baden-Württemberg,Cuscuta epilinum,0,not in naturadb
Baden-Württemberg,Cuscuta epithymum,V,not in naturadb
Baden-Württemberg,Cynoglossum germanicum,3,not in naturadb
Baden-Württemberg,Cyperus flavescens,2,not in naturadb
Baden-Württemberg,Cyperus fuscus,V,not in naturadb
Baden-Württemberg,Cypripedium calceolus,3,not in naturadb
Baden-Württemberg,Cystopteris dickieana,R,not in naturadb
Baden-Württemberg,Cystopteris montana,R,not in naturadb
Baden-Württemberg,Dactylorhiza majalis,3,not in naturadb
Baden-Württemberg,Dactylorhiza ochroleuca,2,not in naturadb
Baden-Württemberg,Dactylorhiza sambucina,2,not in naturadb
Baden-Württemberg,Dactylorhiza traunsteineri,2,not in naturadb
Baden-Württemberg,Daphne laureola,R,not in naturadb
Baden-Württemberg,Deschampsia littoralis,1,not in naturadb
Baden-Württemberg,Deschampsia media,1,not in naturadb
Baden-Württemberg,Dianthus sylvaticus,2,not in naturadb
Baden-Württemberg,Diphasiastrum alpinum,3,not in naturadb
Baden-Württemberg,Diphasiastrum complanatum,2,not in naturadb
Baden-Württemberg,Diphasiastrum issleri,1,not in naturadb
Baden-Württemberg,Diphasiastrum oellgaardii,G,not in naturadb
Baden-Württemberg,Diphasiastrum tristachyum,2,not in naturadb
Baden-Württemberg,Diphasiastrum zeilleri,1,not in naturadb
Baden-Württemberg,Diplotaxis muralis,3,not in naturadb
Baden-Württemberg,Draba muralis,V,not in naturadb
Baden-Württemberg,Drosera intermedia,2,not in naturadb
Baden-Württemberg,Drosera longifolia,2,not in naturadb
Baden-Württemberg,Drosera rotundifolia,3,not in naturadb
Baden-Württemberg,Elatine alsinastrum,1,not in naturadb
Baden-Württemberg,Elatine hexandra,2,not in naturadb
Baden-Württemberg,Elatine hydropiper,1,not in naturadb
Baden-Württemberg,Elatine triandra,1,not in naturadb
Baden-Württemberg,Eleocharis ovata,3,not in naturadb
Baden-Württemberg,Eleocharis quinqueflora,2,not in naturadb
Baden-Württemberg,Eleocharis uniglumis,V,not in naturadb
Baden-Württemberg,Empetrum hermaphroditum,2,not in naturadb
Baden-Württemberg,Epilobium alpestre,R,not in naturadb
Baden-Württemberg,Epilobium alsinifolium,2,not in naturadb
Baden-Württemberg,Epilobium anagallidifolium,1,not in naturadb
Baden-Württemberg,Epilobium duriaei,R,not in naturadb
Baden-Württemberg,Epilobium nutans,R,not in naturadb
Baden-Württemberg,Epipactis atrorubens,V,not in naturadb
Baden-Württemberg,Epipactis microphylla,V,not in naturadb
Baden-Württemberg,Epipactis muelleri,V,not in naturadb
Baden-Württemberg,Epipactis palustris,3,not in naturadb
Baden-Württemberg,Epipogium aphyllum,V,not in naturadb
Baden-Württemberg,Equisetum x moorei,G,not in naturadb
Baden-Württemberg,Equisetum pratense,R,not in naturadb
Baden-Württemberg,Equisetum ramosissimum,3,not in naturadb
Baden-Württemberg,Equisetum x trachyodon,2,not in naturadb
Baden-Württemberg,Eragrostis cilianensis,1,not in naturadb
Baden-Württemberg,Erigeron acris ssp. angulosus,0,not in naturadb
Baden-Württemberg,Erigeron gaudinii,R,not in naturadb
Baden-Württemberg,Eriophorum gracile,1,not in naturadb
Baden-Württemberg,Erysimum repandum,1,not in naturadb
Baden-Württemberg,Erysimum strictum,G,not in naturadb
Baden-Württemberg,Euonymus latifolius,V,not in naturadb
Baden-Württemberg,Euphorbia falcata,1,not in naturadb
Baden-Württemberg,Euphorbia platyphyllos,V,not in naturadb
Baden-Württemberg,Euphrasia micrantha,G,not in naturadb
Baden-Württemberg,Euphrasia salisburgensis,G,not in naturadb
Baden-Württemberg,Festuca duvalii,G,not in naturadb
Baden-Württemberg,Filago arvensis,2,not in naturadb
Baden-Württemberg,Filago gallica,0,not in naturadb
Baden-Württemberg,Filago lutescens,1,not in naturadb
Baden-Württemberg,Filago minima,3,not in naturadb
Baden-Württemberg,Filago pyramidata,2,not in naturadb
Baden-Württemberg,Filago vulgaris,3,not in naturadb
Baden-Württemberg,Fumaria parviflora,0,not in naturadb
Baden-Württemberg,Fumaria schleicheri,G,not in naturadb
Baden-Württemberg,Gagea pratensis,3,not in naturadb
Baden-Württemberg,Gagea spathacea,R,not in naturadb
Baden-Württemberg,Galium anisophyllon,V,not in naturadb
Baden-Württemberg,Galium elongatum,G,not in naturadb
Baden-Württemberg,Galium lucidum,R,not in naturadb
Baden-Württemberg,Galium parisiense,1,not in naturadb
Baden-Württemberg,Galium spurium,G,not in naturadb
Baden-Württemberg,Galium tricornutum,2,not in naturadb
Baden-Württemberg,Galium valdepilosum,R,not in naturadb
Baden-Württemberg,Galium wirtgenii,G,not in naturadb
Baden-Württemberg,Gaudinia fragilis,R,not in naturadb
Baden-Württemberg,Gentiana utriculosa,2,not in naturadb
Baden-Württemberg,Gentianella campestris,1,not in naturadb
Baden-Württemberg,Gentianella ciliata,V,not in naturadb
Baden-Württemberg,Gnaphalium supinum,3,not in naturadb
Baden-Württemberg,Goodyera repens,V,not in naturadb
Baden-Württemberg,Groenlandia densa,2,not in naturadb
Baden-Württemberg,Gymnadenia odoratissima,3,not in naturadb
Baden-Württemberg,Hammarbya paludosa,1,not in naturadb
Baden-Württemberg,Helictotrichon pratense,V,not in naturadb
Baden-Württemberg,Heliotropium europaeum,1,not in naturadb
Baden-Württemberg,Herminium monorchis,2,not in naturadb
Baden-Württemberg,Herniaria hirsuta,3,not in naturadb
Baden-Württemberg,Hieracium amplexicaule,R,not in naturadb
Baden-Württemberg,Hieracium aridum,0,not in naturadb
Baden-Württemberg,Hieracium arvicola,2,not in naturadb
Baden-Württemberg,Hieracium auriculoides,3,not in naturadb
Baden-Württemberg,Hieracium benzianum,0,not in naturadb
Baden-Württemberg,Hieracium bifidum,3,not in naturadb
Baden-Württemberg,Hieracium bupleuroides,3,not in naturadb
Baden-Württemberg,Hieracium caesium,0,not in naturadb
Baden-Württemberg,Hieracium calodon,3,not in naturadb
Baden-Württemberg,Hieracium cottetii,2,not in naturadb
Baden-Württemberg,Hieracium cymosum,3,not in naturadb
Baden-Württemberg,Hieracium fallacinum,3,not in naturadb
Baden-Württemberg,Hieracium fallax,2,not in naturadb
Baden-Württemberg,Hieracium flagellare,0,not in naturadb
Baden-Württemberg,Hieracium franconicum,2,not in naturadb
Baden-Württemberg,Hieracium humile,V,not in naturadb
Baden-Württemberg,Hieracium inuloides,R,not in naturadb
Baden-Württemberg,Hieracium kerneri,0,not in naturadb
Baden-Württemberg,Hieracium leptophyton,0,not in naturadb
Baden-Württemberg,Hieracium longiscapum,0,not in naturadb
Baden-Württemberg,Hieracium lycopifolium,3,not in naturadb
Baden-Württemberg,Hieracium onosmoides,0,not in naturadb
Baden-Württemberg,Hieracium oxyodon,1,not in naturadb
Baden-Württemberg,Hieracium pallescens,0,not in naturadb
Baden-Württemberg,Hieracium peleterianum,R,not in naturadb
Baden-Württemberg,Hieracium prenanthoides,R,not in naturadb
Baden-Württemberg,Hieracium pseudocorymbosum,R,not in naturadb
Baden-Württemberg,Hieracium rothianum,0,not in naturadb
Baden-Württemberg,Hieracium umbrosum,R,not in naturadb
Baden-Württemberg,Hieracium visianii,R,not in naturadb
Baden-Württemberg,Hieracium vulgatum,2,not in naturadb
Baden-Württemberg,Hieracium wiesbaurianum,3,not in naturadb
Baden-Württemberg,Himantoglossum hircinum,3,not in naturadb
Baden-Württemberg,Hirschfeldia incana,2,not in naturadb
Baden-Württemberg,Holosteum umbellatum,V,not in naturadb
Baden-Württemberg,Hordeum jubatum,G,not in naturadb
Baden-Württemberg,Hordeum secalinum,2,not in naturadb
Baden-Württemberg,Huperzia selago,V,not in naturadb
Baden-Württemberg,Illecebrum verticillatum,1,not in naturadb
Baden-Württemberg,Inula helvetica,1,not in naturadb
Baden-Württemberg,Isoetes echinospora,1,not in naturadb
Baden-Württemberg,Isoetes lacustris,2,not in naturadb
Baden-Württemberg,Isolepis setacea,V,not in naturadb
Baden-Württemberg,Juncus alpinoarticulatus,V,not in naturadb
Baden-Württemberg,Juncus bulbosus,V,not in naturadb
Baden-Württemberg,Juncus capitatus,0,not in naturadb
Baden-Württemberg,Juncus filiformis,V,not in naturadb
Baden-Württemberg,Juncus gerardii,0,not in naturadb
Baden-Württemberg,Juncus sphaerocarpus,G,not in naturadb
Baden-Württemberg,Juncus squarrosus,V,not in naturadb
Baden-Württemberg,Juncus tenageia,2,not in naturadb
Baden-Württemberg,Jurinea cyanoides,1,not in naturadb
Baden-Württemberg,Kernera saxatilis,3,not in naturadb
Baden-Württemberg,Koeleria macrantha,3,not in naturadb
Baden-Württemberg,Lactuca saligna,1,not in naturadb
Baden-Württemberg,Lappula deflexa,R,not in naturadb
Baden-Württemberg,Lappula squarrosa,1,not in naturadb
Baden-Württemberg,Lathyrus bauhinii,2,not in naturadb
Baden-Württemberg,Lathyrus hirsutus,3,not in naturadb
Baden-Württemberg,Lathyrus nissolia,2,not in naturadb
Baden-Württemberg,Lathyrus pannonicus ssp. collinus,R,not in naturadb
Baden-Württemberg,Leersia oryzoides,3,not in naturadb
Baden-Württemberg,Legousia hybrida,1,not in naturadb
Baden-Württemberg,Lemna trisulca,V,not in naturadb
Baden-Württemberg,Leontodon helveticus,V,not in naturadb
Baden-Württemberg,Leontodon incanus,3,not in naturadb
Baden-Württemberg,Lepidium graminifolium,3,not in naturadb
Baden-Württemberg,Ligusticum mutellina,3,not in naturadb
Baden-Württemberg,Lilium bulbiferum,1,not in naturadb
Baden-Württemberg,Limodorum abortivum,2,not in naturadb
Baden-Württemberg,Limosella aquatica,3,not in naturadb
Baden-Württemberg,Linaria arvensis,0,not in naturadb
Baden-Württemberg,Lindernia procumbens,2,not in naturadb
Baden-Württemberg,Linum leonii,1,not in naturadb
Baden-Württemberg,Liparis loeselii,2,not in naturadb
Baden-Württemberg,Lithospermum arvense,V,not in naturadb
Baden-Württemberg,Littorella uniflora,2,not in naturadb
Baden-Württemberg,Lolium remotum,0,not in naturadb
Baden-Württemberg,Ludwigia palustris,1,not in naturadb
Baden-Württemberg,Luzula forsteri,V,not in naturadb
Baden-Württemberg,Luzula sudetica,3,not in naturadb
Baden-Württemberg,Lycopodiella inundata,2,not in naturadb
Baden-Württemberg,Lycopodium clavatum,3,not in naturadb
Baden-Württemberg,Lythrum portula,3,not in naturadb
Baden-Württemberg,Malaxis monophyllos,1,not in naturadb
Baden-Württemberg,Malva pusilla,1,not in naturadb
Baden-Württemberg,Marsilea quadrifolia,1,not in naturadb
Baden-Württemberg,Medicago minima,V,not in naturadb
Baden-Württemberg,Melampyrum cristatum,3,not in naturadb
Baden-Württemberg,Mibora minima,0,not in naturadb
Baden-Württemberg,Micropyrum tenellum,0,not in naturadb
Baden-Württemberg,Minuartia hybrida ssp. tenuifolia,3,not in naturadb
Baden-Württemberg,Minuartia rubra,2,not in naturadb
Baden-Württemberg,Minuartia setacea,0,not in naturadb
Baden-Württemberg,Minuartia stricta,0,not in naturadb
Baden-Württemberg,Moenchia erecta,0,not in naturadb
Baden-Württemberg,Moneses uniflora,3,not in naturadb
Baden-Württemberg,Montia fontana,G,not in naturadb
Baden-Württemberg,Montia fontana ssp. amporitana,G,not in naturadb
Baden-Württemberg,Montia fontana ssp. chondrosperma,2,not in naturadb
Baden-Württemberg,Montia fontana ssp. fontana,G,not in naturadb
Baden-Württemberg,Montia fontana ssp. variabilis,G,not in naturadb
Baden-Württemberg,Myagrum perfoliatum,2,not in naturadb
Baden-Württemberg,Myosotis discolor,3,not in naturadb
Baden-Württemberg,Myosotis laxa,G,not in naturadb
Baden-Württemberg,Myosotis stricta,3,not in naturadb
Baden-Württemberg,Myosurus minimus,3,not in naturadb
Baden-Württemberg,Myriophyllum alterniflorum,2,not in naturadb
Baden-Württemberg,Najas flexilis,1,not in naturadb
Baden-Württemberg,Najas marina ssp. intermedia,V,not in naturadb
Baden-Württemberg,Najas minor,V,not in naturadb
Baden-Württemberg,Narcissus radiiflorus,2,not in naturadb
Baden-Württemberg,Nepeta nuda,2,not in naturadb
Baden-Württemberg,Neslia paniculata,3,not in naturadb
Baden-Württemberg,Nicandra physalodes,3,not in naturadb
Baden-Württemberg,Nigritella rhellicani,0,not in naturadb
Baden-Württemberg,Nuphar x intermedia,G,not in naturadb
Baden-Württemberg,Nuphar pumila,2,not in naturadb
Baden-Württemberg,Odontites vernus,G,not in naturadb
Baden-Württemberg,Oenanthe aquatica,V,not in naturadb
Baden-Württemberg,Oenanthe fistulosa,1,not in naturadb
Baden-Württemberg,Oenanthe fluviatilis,0,not in naturadb
Baden-Württemberg,Oenanthe lachenalii,2,not in naturadb
Baden-Württemberg,Ophioglossum vulgatum,3,not in naturadb
Baden-Württemberg,Ophrys apifera,V,not in naturadb
Baden-Württemberg,Ophrys araneola,2,not in naturadb
Baden-Württemberg,Ophrys holoserica ssp. elatior,2,not in naturadb
Baden-Württemberg,Ophrys holoserica ssp. holoserica,3,not in naturadb
Baden-Württemberg,Ophrys insectifera,3,not in naturadb
Baden-Württemberg,Ophrys sphegodes,2,not in naturadb
Baden-Württemberg,Orchis coriophora,1,not in naturadb
Baden-Württemberg,Orchis mascula,V,not in naturadb
Baden-Württemberg,Orchis militaris,V,not in naturadb
Baden-Württemberg,Orchis morio,3,not in naturadb
Baden-Württemberg,Orchis pallens,3,not in naturadb
Baden-Württemberg,Orchis palustris,1,not in naturadb
Baden-Württemberg,Orchis purpurea,V,not in naturadb
Baden-Württemberg,Orchis simia,3,not in naturadb
Baden-Württemberg,Orchis spitzelii,0,not in naturadb
Baden-Württemberg,Orchis ustulata,2,not in naturadb
Baden-Württemberg,Ornithogalum orthophyllum ssp. kochii,1,not in naturadb
Baden-Württemberg,Orobanche alba,2,not in naturadb
Baden-Württemberg,Orobanche alsatica,2,not in naturadb
Baden-Württemberg,Orobanche amethystea,1,not in naturadb
Baden-Württemberg,Orobanche arenaria,2,not in naturadb
Baden-Württemberg,Orobanche bartlingii,1,not in naturadb
Baden-Württemberg,Orobanche caryophyllacea,3,not in naturadb
Baden-Württemberg,Orobanche elatior,2,not in naturadb
Baden-Württemberg,Orobanche gracilis,1,not in naturadb
Baden-Württemberg,Orobanche lucorum,1,not in naturadb
Baden-Württemberg,Orobanche lutea,3,not in naturadb
Baden-Württemberg,Orobanche mayeri,1,not in naturadb
Baden-Württemberg,Orobanche minor,V,not in naturadb
Baden-Württemberg,Orobanche picridis,2,not in naturadb
Baden-Württemberg,Orobanche purpurea,2,not in naturadb
Baden-Württemberg,Orobanche ramosa,3,not in naturadb
Baden-Württemberg,Orobanche rapum-genistae,2,not in naturadb
Baden-Württemberg,Orobanche reticulata,2,not in naturadb
Baden-Württemberg,Orobanche salviae,R,not in naturadb
Baden-Württemberg,Orobanche teucrii,3,not in naturadb
Baden-Württemberg,Orthilia secunda,V,not in naturadb
Baden-Württemberg,Parietaria officinalis,2,not in naturadb
Baden-Württemberg,Parnassia palustris,3,not in naturadb
Baden-Württemberg,Pedicularis foliosa,2,not in naturadb
Baden-Württemberg,Pedicularis palustris,2,not in naturadb
Baden-Württemberg,Pedicularis sceptrum-carolinum,2,not in naturadb
Baden-Württemberg,Pedicularis sylvatica,3,not in naturadb
Baden-Württemberg,Persicaria vivipara,2,not in naturadb
Baden-Württemberg,Petasites paradoxus,2,not in naturadb
Baden-Württemberg,Phleum paniculatum,1,not in naturadb
Baden-Württemberg,Pilularia globulifera,2,not in naturadb
Baden-Württemberg,Pinguicula alpina,1,not in naturadb
Baden-Württemberg,Pinguicula vulgaris,3,not in naturadb
Baden-Württemberg,Poa badensis,0,not in naturadb
Baden-Württemberg,Poa cenisia,2,not in naturadb
Baden-Württemberg,Poa langiana,0,not in naturadb
Baden-Württemberg,Polycarpon tetraphyllum,2,not in naturadb
Baden-Württemberg,Polycnemum arvense,1,not in naturadb
Baden-Württemberg,Polycnemum majus,2,not in naturadb
Baden-Württemberg,Polygala amarella,V,not in naturadb
Baden-Württemberg,Polygala calcarea,1,not in naturadb
Baden-Württemberg,Polygala chamaebuxus,3,not in naturadb
Baden-Württemberg,Polygala serpyllifolia,3,not in naturadb
Baden-Württemberg,Potamogeton acutifolius,2,not in naturadb
Baden-Württemberg,Potamogeton alpinus,2,not in naturadb
Baden-Württemberg,Potamogeton x angustifolius,V,not in naturadb
Baden-Württemberg,Potamogeton coloratus,0,not in naturadb
Baden-Württemberg,Potamogeton filiformis,0,not in naturadb
Baden-Württemberg,Potamogeton friesii,V,not in naturadb
Baden-Württemberg,Potamogeton gramineus,2,not in naturadb
Baden-Württemberg,Potamogeton helveticus,1,not in naturadb
Baden-Württemberg,Potamogeton x nitens,0,not in naturadb
Baden-Württemberg,Potamogeton obtusifolius,3,not in naturadb
Baden-Württemberg,Potamogeton polygonifolius,1,not in naturadb
Baden-Württemberg,Potamogeton praelongus,1,not in naturadb
Baden-Württemberg,Potentilla collina,G,not in naturadb
Baden-Württemberg,Potentilla heptaphylla,V,not in naturadb
Baden-Württemberg,Potentilla inclinata,G,not in naturadb
Baden-Württemberg,Potentilla praecox,G,not in naturadb
Baden-Württemberg,Potentilla pusilla,G,not in naturadb
Baden-Württemberg,Potentilla sordida,G,not in naturadb
Baden-Württemberg,Pritzelago alpina,0,not in naturadb
Baden-Württemberg,Prunella laciniata,3,not in naturadb
Baden-Württemberg,Pseudognaphalium luteoalbum,1,not in naturadb
Baden-Württemberg,Pseudolysimachion spicatum,2,not in naturadb
Baden-Württemberg,Pseudorchis albida,2,not in naturadb
Baden-Württemberg,Pulicaria vulgaris,2,not in naturadb
Baden-Württemberg,Pulmonaria collina,2,not in naturadb
Baden-Württemberg,Pulmonaria montana,3,not in naturadb
Baden-Württemberg,Pyrola chlorantha,2,not in naturadb
Baden-Württemberg,Pyrola minor,3,not in naturadb
Baden-Württemberg,Pyrola rotundifolia,3,not in naturadb
Baden-Württemberg,Quercus x calvescens,V,not in naturadb
Baden-Württemberg,Radiola linoides,0,not in naturadb
Baden-Württemberg,Ranunculus alnetorum,R,not in naturadb
Baden-Württemberg,Ranunculus cassubicifolius,R,not in naturadb
Baden-Württemberg,Ranunculus haasii,G,not in naturadb
Baden-Württemberg,Ranunculus indecorus,G,not in naturadb
Baden-Württemberg,Ranunculus kunzii,2,not in naturadb
Baden-Württemberg,Ranunculus lunaris,2,not in naturadb
Baden-Württemberg,Ranunculus macrotis,R,not in naturadb
Baden-Württemberg,Ranunculus breyninus,3,not in naturadb
Baden-Württemberg,Ranunculus carinthiacus,2,not in naturadb
Baden-Württemberg,Ranunculus circinatus,3,not in naturadb
Baden-Württemberg,Ranunculus platanifolius,V,not in naturadb
Baden-Württemberg,Ranunculus reptans,2,not in naturadb
Baden-Württemberg,Ranunculus sardous,2,not in naturadb
Baden-Württemberg,Rapistrum rugosum,3,not in naturadb
Baden-Württemberg,Rhinanthus angustifolius,G,not in naturadb
Baden-Württemberg,Rhinanthus glacialis,V,not in naturadb
Baden-Württemberg,Rhynchospora alba,3,not in naturadb
Baden-Württemberg,Rhynchospora fusca,2,not in naturadb
Baden-Württemberg,Rosa caesia,3,not in naturadb
Baden-Württemberg,Rosa pimpinellifolia,V,not in naturadb
Baden-Württemberg,Rumex pulcher,1,not in naturadb
Baden-Württemberg,Sagina saginoides,R,not in naturadb
